game_id,game_name,game_url,game_channel
329,Sword Master,https://www.youtube.com/watch?v=_GSfLqJUcOM,World of Longplays
370,Valkyrieno Bouken  Tokino Kagi Densetsu,https://www.youtube.com/watch?v=y1MjuBqoNCs,我愛你Ice Jacket
243,Monsterinmy Pocket,https://www.youtube.com/watch?v=4nxBLapcvgw,World of Longplays
160,Hiryuno KenIII'5 Ninno Ryu Senshi,https://www.youtube.com/watch?v=EbBGx5EJ1Q8,Paladín Amatista
145,Golgo13  Top Secret Episode,https://www.youtube.com/watch?v=qMuDiI9X8q4,World of Longplays
081,Dr  Jekylland Mr  Hyde,https://www.youtube.com/watch?v=BrX_r68VUzQ,World of Longplays
387,Wizardry  Proving Groundsof The Mad Overlord,https://www.youtube.com/watch?v=bUffFSY5QUw,IndieGamerRetro
070,Dig DugII,https://www.youtube.com/watch?v=edE61iy1SJQ,World of Longplays
146,Gomoku Narabe Renju,https://www.youtube.com/watch?v=8NRQvEyzjII,World of Longplays
080,Double Dribble,https://www.youtube.com/watch?v=gw7poSD0adg,World of Longplays
007,After Burner,https://www.youtube.com/watch?v=m9WO9PHf3Tc,World of Longplays
170,IkariIII  The Rescue,https://www.youtube.com/watch?v=GIAZhwxIJKs,World of Longplays
129,Freedom Force,https://www.youtube.com/watch?v=kD9oYi7kT9g,World of Longplays
311,Starship Hector,https://www.youtube.com/watch?v=6gKYUSVJz8M,World of Longplays
190,King's Knight,https://www.youtube.com/watch?v=E-impmbADbA,World of Longplays
258,'P'O'W   Prisonersof War,https://www.youtube.com/watch?v=uyKP3U1824s,TerminalMontage
064,Deep DungeonII  Yuushino Monshou,https://www.youtube.com/watch?v=7CUDJyiduRE,Retro Games Archive
336,Tenchio KurauII  Shokatsu Koumei Den,https://www.youtube.com/watch?v=omxU_C_c4DE,World of Longplays
076,Donkey Kong Country4,https://www.youtube.com/watch?v=EMxWUKnh0aE,World of Longplays
169,Ice Climber,https://www.youtube.com/watch?v=3YGJLbasFDg,World of Longplays
105,Famicom Jump  Hero Retsuden,https://www.youtube.com/watch?v=fX1FYPEf2Tc,Nenriki Gaming Channel
235,Metroid,https://www.youtube.com/watch?v=JuNygTLHlm0,World of Longplays
147,Gradius,https://www.youtube.com/watch?v=xKnT_XQsFyU,World of Longplays
099,'F'1 Race,https://www.youtube.com/watch?v=kh5kOT5gcU0,World of Longplays
276,Radia Senki  Reimei Hen,https://www.youtube.com/watch?v=vJo97gOWg2k,Were1974
255,Nobunagano Yabou  Bushou Fuunroku,https://www.youtube.com/watch?v=2EKTZjV1GOI,retrocopyvideos
060,Crisis Force,https://www.youtube.com/watch?v=3cl2yizTrgQ,World of Longplays
108,Famista,https://www.youtube.com/watch?v=-gMIn5vDf2E,30-30 Club - Baseball Video Game Encyclopedia
397,YsII  Ancient YsVanished The Final Chapter,https://www.youtube.com/watch?v=u0Ku2tfwV4w,Highretrogamelord
149,Green Beret,https://www.youtube.com/watch?v=aZlFKhsyPy8,World of Longplays
065,DefenderII,https://www.youtube.com/watch?v=yvvAlr-jhBY,World of Longplays
269,Pro Yakyuu  Family Stadium,https://www.youtube.com/watch?v=naZoozrxS1I,30-30 Club - Baseball Video Game Encyclopedia
056,Circus Charlie,https://www.youtube.com/watch?v=sb6PHudZLkc,World of Longplays
398,Ys  Ancient YsVanished Omen,https://www.youtube.com/watch?v=JiOHgon9UmU,World of Longplays
261,Parodius,https://www.youtube.com/watch?v=DKVxqzDQ-Qk,World of Longplays
294,Side Pocket,https://www.youtube.com/watch?v=erE_nCRdV7I,World of Longplays
